vol,price,
0.000000,0.000000,
0.010000,0.000000,
0.020000,0.000975,
0.030000,0.019388,
0.040000,0.059781,
0.050000,0.101922,
0.060000,0.133690,
0.070000,0.153357,
0.080000,0.163423,
0.090000,0.166923,
0.100000,0.166261,
0.110000,0.163098,
0.120000,0.158515,
0.130000,0.153196,
0.140000,0.147566,
0.150000,0.141885,
0.160000,0.136308,
0.170000,0.130924,
0.180000,0.125781,
0.190000,0.120901,
0.200000,0.116288,
0.210000,0.111941,
0.220000,0.107849,
0.230000,0.103999,
0.240000,0.100378,
0.250000,0.096971,
0.260000,0.093764,
0.270000,0.090741,
0.280000,0.087892,
0.290000,0.085202,
0.300000,0.082660,
0.310000,0.080256,
0.320000,0.077979,
0.330000,0.075821,
0.340000,0.073773,
0.350000,0.071828,
0.360000,0.069978,
0.370000,0.068217,
0.380000,0.066540,
0.390000,0.064939,
0.400000,0.063412,
0.410000,0.061952,
0.420000,0.060556,
0.430000,0.059219,
0.440000,0.057939,
0.450000,0.056711,
0.460000,0.055533,
0.470000,0.054402,
0.480000,0.053315,
0.490000,0.052270,
0.500000,0.051264,
0.510000,0.050295,
0.520000,0.049362,
0.530000,0.048461,
0.540000,0.047593,
0.550000,0.046755,
0.560000,0.045945,
0.570000,0.045162,
0.580000,0.044405,
0.590000,0.043673,
0.600000,0.042964,
0.610000,0.042278,
0.620000,0.041612,
0.630000,0.040968,
0.640000,0.040342,
0.650000,0.039735,
0.660000,0.039146,
0.670000,0.038574,
0.680000,0.038019,
0.690000,0.037478,
0.700000,0.036953,
0.710000,0.036443,
0.720000,0.035946,
0.730000,0.035462,
0.740000,0.034991,
0.750000,0.034532,
0.760000,0.034085,
0.770000,0.033650,
0.780000,0.033225,
0.790000,0.032811,
0.800000,0.032406,
0.810000,0.032012,
0.820000,0.031627,
0.830000,0.031251,
0.840000,0.030884,
0.850000,0.030526,
0.860000,0.030175,
0.870000,0.029833,
0.880000,0.029498,
0.890000,0.029170,
0.900000,0.028850,
0.910000,0.028536,
0.920000,0.028230,
0.930000,0.027929,
0.940000,0.027636,
0.950000,0.027348,
0.960000,0.027066,
0.970000,0.026789,
0.980000,0.026519,
0.990000,0.026253,
1.000000,0.025993,
