vol,price,
0.000000,0.000000,
0.010000,0.000034,
0.020000,0.041056,
0.030000,0.267297,
0.040000,0.663022,
0.050000,1.162078,
0.060000,1.722643,
0.070000,2.321259,
0.080000,2.944375,
0.090000,3.583740,
0.100000,4.234059,
0.110000,4.891773,
0.120000,5.554382,
0.130000,6.220064,
0.140000,6.887444,
0.150000,7.555454,
0.160000,8.223231,
0.170000,8.890071,
0.180000,9.555387,
0.190000,10.218677,
0.200000,10.879504,
0.210000,11.537479,
0.220000,12.192257,
0.230000,12.843523,
0.240000,13.490988,
0.250000,14.134390,
0.260000,14.773480,
0.270000,15.408029,
0.280000,16.037822,
0.290000,16.662657,
0.300000,17.282342,
0.310000,17.896696,
0.320000,18.505549,
0.330000,19.108739,
0.340000,19.706111,
0.350000,20.297521,
0.360000,20.882830,
0.370000,21.461908,
0.380000,22.034631,
0.390000,22.600882,
0.400000,23.160551,
0.410000,23.713536,
0.420000,24.259738,
0.430000,24.799067,
0.440000,25.331438,
0.450000,25.856773,
0.460000,26.374998,
0.470000,26.886047,
0.480000,27.389860,
0.490000,27.886380,
0.500000,28.375558,
0.510000,28.857349,
0.520000,29.331715,
0.530000,29.798623,
0.540000,30.258044,
0.550000,30.709956,
0.560000,31.154340,
0.570000,31.591185,
0.580000,32.020482,
0.590000,32.442228,
0.600000,32.856426,
0.610000,33.263081,
0.620000,33.662204,
0.630000,34.053812,
0.640000,34.437923,
0.650000,34.814563,
0.660000,35.183758,
0.670000,35.545541,
0.680000,35.899949,
0.690000,36.247021,
0.700000,36.586800,
0.710000,36.919334,
0.720000,37.244673,
0.730000,37.562871,
0.740000,37.873984,
0.750000,38.178074,
0.760000,38.475202,
0.770000,38.765434,
0.780000,39.048840,
0.790000,39.325490,
0.800000,39.595457,
0.810000,39.858817,
0.820000,40.115648,
0.830000,40.366030,
0.840000,40.610046,
0.850000,40.847778,
0.860000,41.079313,
0.870000,41.304737,
0.880000,41.524139,
0.890000,41.737608,
0.900000,41.945237,
0.910000,42.147116,
0.920000,42.343339,
0.930000,42.534001,
0.940000,42.719195,
0.950000,42.899018,
0.960000,43.073566,
0.970000,43.242934,
0.980000,43.407221,
0.990000,43.566523,
1.000000,43.720938,
