vol,price,
0.000000,0.000000,
0.010000,0.000000,
0.020000,0.000000,
0.030000,0.000009,
0.040000,0.000555,
0.050000,0.006555,
0.060000,0.027598,
0.070000,0.067016,
0.080000,0.138502,
0.090000,0.240198,
0.100000,0.357669,
0.110000,0.489673,
0.120000,0.654389,
0.130000,0.825505,
0.140000,1.007466,
0.150000,1.186594,
0.160000,1.435989,
0.170000,1.639041,
0.180000,1.840060,
0.190000,2.089082,
0.200000,2.356507,
0.210000,2.620650,
0.220000,2.794627,
0.230000,3.072688,
0.240000,3.331352,
0.250000,3.577236,
0.260000,3.863476,
0.270000,4.088308,
0.280000,4.396518,
0.290000,4.635262,
0.300000,4.951361,
0.310000,5.151895,
0.320000,5.421290,
0.330000,5.684933,
0.340000,5.992151,
0.350000,6.305037,
0.360000,6.600127,
0.370000,6.909856,
0.380000,7.104796,
0.390000,7.357545,
0.400000,7.638332,
0.410000,7.890784,
0.420000,8.184255,
0.430000,8.457447,
0.440000,8.863849,
0.450000,9.084765,
0.460000,9.372649,
0.470000,9.493216,
0.480000,9.916016,
0.490000,10.144776,
0.500000,10.493083,
0.510000,10.725072,
0.520000,11.045567,
0.530000,11.344173,
0.540000,11.604557,
0.550000,11.866666,
0.560000,12.093993,
0.570000,12.610043,
0.580000,12.869688,
0.590000,12.889469,
0.600000,13.249352,
0.610000,13.419319,
0.620000,13.779057,
0.630000,14.112351,
0.640000,14.259924,
0.650000,14.612886,
0.660000,14.994789,
0.670000,15.153281,
0.680000,15.417812,
0.690000,15.683142,
0.700000,16.320558,
0.710000,16.346679,
0.720000,16.482731,
0.730000,16.943811,
0.740000,17.332054,
0.750000,17.802451,
0.760000,17.943886,
0.770000,18.019472,
0.780000,18.439235,
0.790000,18.599267,
0.800000,18.724446,
0.810000,19.283310,
0.820000,19.346036,
0.830000,19.705513,
0.840000,20.019016,
0.850000,20.612789,
0.860000,20.347289,
0.870000,20.912825,
0.880000,21.006788,
0.890000,21.269116,
0.900000,21.696139,
0.910000,21.784201,
0.920000,22.108915,
0.930000,22.320153,
0.940000,22.930332,
0.950000,23.155731,
0.960000,23.974269,
0.970000,23.558704,
0.980000,23.592088,
0.990000,24.012235,
1.000000,24.463550,
